id,titulo,autores,anio_nacimiento_autor,anio_muerte_autor,materias,estanterias,idiomas,copyright,tipo_medio,descargas
76178,I am a woman,"Bannon, Ann",1932.0,,Lesbians -- Fiction; Love stories; New York (N.Y.) -- Fiction,Category: American Literature; Category: Novels; Category: Romance,en,False,Text,65662
2852,The Hound of the Baskervilles,"Doyle, Arthur Conan",1859.0,1930.0,"Blessing and cursing -- Fiction; Dartmoor (England) -- Fiction; Detective and mystery stories; Dogs -- Fiction; Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction","Bestsellers, American, 1895-1923; Category: British Literature; Category: Classics of Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Detective Fiction",en,False,Text,65125
15384,The Real Adventure,"Webster, Henry Kitchell",1875.0,1932.0,Man-woman relationships -- Fiction; Married people -- Fiction,"Bestsellers, American, 1895-1923; Category: American Literature; Category: Novels; Category: Romance",en,False,Text,64742
40361,The Air Pirate,"Thorne, Guy",1875.0,1923.0,Aeronautics -- Fiction; England -- Fiction; Pirates -- Fiction; Science fiction,"Category: Adventure; Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels",en,False,Text,64687
24149,The Ambulance Made Two Trips,"Leinster, Murray",1896.0,1975.0,Gangsters -- Fiction; Luck -- Fiction; Police -- Fiction; Science fiction; Short stories,"Category: Crime, Thrillers and Mystery; Category: Science-Fiction & Fantasy; Category: Short Stories; Science Fiction",en,False,Text,64579
23599,The Big Fix,"Smith, George O. (George Oliver)",1911.0,1981.0,Horse racing -- Fiction; Psychic ability -- Fiction; Science fiction; Short stories; Telepathy -- Fiction,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: Science-Fiction & Fantasy; Science Fiction",en,False,Text,64547
14818,The Daughter of Anderson Crow,"McCutcheon, George Barr",1866.0,1928.0,City and town life -- Fiction; Foundlings -- Fiction; New York (State) -- Fiction,"Bestsellers, American, 1895-1923; Category: American Literature; Category: Crime, Thrillers and Mystery; Category: Humour; Category: Novels",en,False,Text,64510
14287,L'île mystérieuse,"Verne, Jules",1828.0,1905.0,Adventure stories; Castaways -- Fiction; Islands of the Pacific -- Fiction; Science fiction,Category: Adventure; Category: Classics of Literature; Category: Novels; Category: Science-Fiction & Fantasy; FR Littérature; FR Science fiction; Science Fiction,fr,False,Text,64084
43063,A Case in Camera,"Onions, Oliver",1873.0,1961.0,England -- Social life and customs -- 20th century -- Fiction; Murder -- Fiction; Mystery fiction,"Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels",en,False,Text,63850
2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan",1809.0,1849.0,"American fiction -- 19th century; Fantasy fiction; Horror tales, American; Short stories","Category: American Literature; Category: Crime, Thrillers and Mystery; Category: Short Stories; Detective Fiction; Gothic Fiction; Horror; Mystery Fiction",en,False,Text,63847
1212,Love and Freindship [sic],"Austen, Jane",1775.0,1817.0,England -- Social life and customs -- 18th century -- Fiction; Epistolary fiction; Essays,"Category: British Literature; Category: Essays, Letters & Speeches; Category: Humour; Category: Novels; Category: Romance",en,False,Text,63405
12345,"Friday, the Thirteenth: A Novel","Lawson, Thomas William",1857.0,1925.0,"Banks and banking, American -- Fiction; Banks and banking, International -- Fiction; Financial crises -- Fiction; National banks (United States) -- Fiction; Stock exchanges -- United States -- Fiction","Category: American Literature; Category: Crime, Thrillers and Mystery; Category: Novels",en,False,Text,63081
4499,Complete Short Works of George Meredith,"Meredith, George",1828.0,1909.0,English fiction -- 19th century,Category: Adventure; Category: British Literature; Category: Romance; Category: Short Stories,en,False,Text,62485
1608,Camille (La Dame aux Camilias),"Dumas, Alexandre",1824.0,1895.0,Courtesans -- Fiction; Fathers and sons -- Fiction; Love stories; Paris (France) -- Fiction; Tuberculosis -- Patients -- Fiction,Category: French Literature; Category: Novels; Category: Romance,en,False,Text,62473
224,A pair of blue eyes,"Hardy, Thomas",1840.0,1928.0,Didactic fiction; Elopement -- Fiction; Separation (Psychology) -- Fiction; Triangles (Interpersonal relations) -- Fiction; Wessex (England) -- Fiction,Category: British Literature; Category: Novels; Category: Romance,en,False,Text,62448
2825,Undine,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",1777.0,1843.0,Fairy tales -- Germany; Fantasy fiction; Knights and knighthood -- Fiction; Love stories; Romances -- Translations into English; Water spirits -- Fiction,"Category: German Literature; Category: Mythology, Legends & Folklore; Category: Novels; Category: Romance; Category: Science-Fiction & Fantasy",en,False,Text,62394
3922,The Red Lily — Complete,"France, Anatole",1844.0,1924.0,France -- Fiction; French fiction -- Translations into English; Italy -- Fiction; Man-woman relationships -- Fiction,Category: French Literature; Category: Novels; Category: Romance; Nobel Prizes in Literature,en,False,Text,62185
23184,Monte-Cristo's Daughter,"Flagg, Edmund",1815.0,1890.0,"Dantès, Edmond (Fictitious character) -- Fiction; Domestic fiction; Fathers and daughters -- Fiction; France -- Fiction",Category: Adventure; Category: Novels; Category: Romance,en,False,Text,61942
103,Around the World in Eighty Days,"Verne, Jules",1828.0,1905.0,Adventure stories; Voyages around the world -- Fiction,Adventure; Best Books Ever Listings; Category: Adventure; Category: Classics of Literature; Category: French Literature; Category: Novels; Movie Books,en,False,Text,61541
4712,The Landloper: The Romance of a Man on Foot,"Day, Holman",1865.0,1935.0,Political corruption -- Fiction; Water-supply -- Fiction,Category: Adventure; Category: American Literature; Category: Novels; Category: Romance,en,False,Text,61521
6635,A Romance of Billy-Goat Hill,"Rice, Alice Caldwell Hegan",1870.0,1942.0,Kentucky -- Fiction,Category: American Literature; Category: Novels; Category: Romance,en,False,Text,61001
2147,The Works of Edgar Allan Poe — Volume 1,"Poe, Edgar Allan",1809.0,1849.0,"American fiction -- 19th century; Fantasy fiction; Horror tales, American; Poe, Edgar Allan, 1809-1849","Category: American Literature; Category: Crime, Thrillers and Mystery; Category: Poetry; Category: Short Stories; Detective Fiction; Horror; Mystery Fiction",en,False,Text,60874
204,The innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",1874.0,1936.0,"Brown, Father (Fictitious character) -- Fiction; Catholics -- Fiction; Clergy -- Fiction; Detective and mystery stories, English; England -- Fiction","Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Short Stories; Detective Fiction",en,False,Text,60812
10002,The House on the Borderland,"Hodgson, William Hope",1877.0,1918.0,Science fiction,"Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Science-Fiction & Fantasy; Fantasy; Horror; Science Fiction",en,False,Text,60535
8954,Lady Audley's Secret,"Braddon, M. E. (Mary Elizabeth)",1835.0,1915.0,Bigamy -- Fiction; Deception -- Fiction; Domestic fiction; England -- Fiction; Married women -- Fiction; Psychological fiction,"Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels",en,False,Text,60532
29391,Blue-grass and Broadway,"Daviess, Maria Thompson",1872.0,1924.0,"Broadway (New York, N.Y.) -- Fiction",Category: Adventure; Category: American Literature; Category: Novels; Category: Romance,en,False,Text,60368
23500,The Car of Destiny,"Williamson, C. N. (Charles Norris), Williamson, A. M. (Alice Muriel)",1859.0,1920.0,Spain -- Fiction,Category: Adventure; Category: Novels; Category: Romance,en,False,Text,60027
2097,The Sign of the Four,"Doyle, Arthur Conan",1859.0,1930.0,"Detective and mystery stories; Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction","Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Detective Fiction",en,False,Text,59781
209,The Turn of the Screw,"James, Henry",1843.0,1916.0,Children -- Fiction; England -- Fiction; Ghost stories; Governesses -- Fiction; Psychological fiction,"Best Books Ever Listings; Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Gothic Fiction; Horror; Opera",en,False,Text,59775
2527,The Sorrows of Young Werther,"Goethe, Johann Wolfgang von",1749.0,1832.0,Germany -- Social life and customs -- Fiction; Unrequited love -- Fiction; Young men -- Germany -- Fiction,Banned Books from Anne Haight's list; Category: Classics of Literature; Category: German Literature; Category: Novels; Category: Romance; Harvard Classics; Opera,en,False,Text,59731
223,The wisdom of Father Brown,"Chesterton, G. K. (Gilbert Keith)",1874.0,1936.0,"Brown, Father (Fictitious character) -- Fiction; Catholics -- Fiction; Clergy -- Fiction; Detective and mystery stories, English; England -- Fiction","Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Short Stories; Detective Fiction",en,False,Text,59388
